,Entity,Code,Year,"GDP growth from previous year, 2020 Q2"
0,Austria,AUT,2020,-13.3
1,Belgium,BEL,2020,-14.5
2,Bulgaria,BGR,2020,-8.2
3,Canada,CAN,2020,-13.494697
4,Chile,CHL,2020,-13.682773
5,China,CHN,2020,3.2
6,Colombia,COL,2020,-15.7
7,Cyprus,CYP,2020,-11.9
8,Czechia,CZE,2020,-10.7
9,Denmark,DNK,2020,-8.5
10,EU,,2020,-14.1
11,Euro area,,2020,-15.0
12,Finland,FIN,2020,-5.2
13,France,FRA,2020,-19.0
14,G7,,2020,-12.106082
15,Germany,DEU,2020,-11.7
16,Hungary,HUN,2020,-13.5
17,Indonesia,IDN,2020,-5.36783
18,Israel,ISR,2020,-7.766077
19,Italy,ITA,2020,-17.3
20,Japan,JPN,2020,-10.00138
21,Latvia,LVA,2020,-9.6
22,Lithuania,LTU,2020,-3.7
23,Malaysia,MYS,2020,-17.1
24,Mexico,MEX,2020,-18.967486
25,NAFTA,,2020,-10.786266
26,Netherlands,NLD,2020,-9.0
27,Nigeria,NGA,2020,-6.1
28,Norway,NOR,2020,-5.331291
29,OECD - Total,,2020,-10.9
30,Peru,PER,2020,-30.2358063
31,Philippines,PHL,2020,-16.5
32,Poland,POL,2020,-7.9
33,Portugal,PRT,2020,-16.3
34,Romania,ROU,2020,-10.5
35,Singapore,SGP,2020,-13.2
36,Slovakia,SVK,2020,-12.1
37,South Korea,KOR,2020,-2.957828
38,Spain,ESP,2020,-22.1
39,Sweden,SWE,2020,-8.3
40,Taiwan,TWN,2020,-0.58
41,Tunisia,TUN,2020,-21.6
42,United Kingdom,GBR,2020,-21.7
43,United States,USA,2020,-9.5
